Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:24:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:       9    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
Average:      10    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:      11    4,04    0,00    6,06    0,00    0,00    0,00    0,00    0,00    0,00   89,90
Average:      12    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Average:      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Average:      15    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:30:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:30:03     all    3,01    0,00    1,82    0,06    0,00    0,00    0,00    0,00    0,00   95,11
10:30:03       0    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
10:30:03       1    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
10:30:03       2    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
10:30:03       3    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
10:30:03       4    2,04    0,00    1,02    1,02    0,00    0,00    0,00    0,00    0,00   95,92
10:30:03       5    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
10:30:03       6    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:30:03       7   20,79    0,00    6,93    0,00    0,00    0,00    0,00    0,00    0,00   72,28
10:30:03       8    5,10    0,00    6,12    0,00    0,00    0,00    0,00    0,00    0,00   88,78
10:30:03       9    2,97    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   95,05
10:30:03      10    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
10:30:03      11    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
10:30:03      12    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
10:30:03      13    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
10:30:03      14    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
10:30:03      15    1,98    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   96,04

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    3,01    0,00    1,82    0,06    0,00    0,00    0,00    0,00    0,00   95,11
Average:       0    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
Average:       1    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
Average:       2    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
Average:       3    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
Average:       4    2,04    0,00    1,02    1,02    0,00    0,00    0,00    0,00    0,00   95,92
Average:       5    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
Average:       6    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
Average:       7   20,79    0,00    6,93    0,00    0,00    0,00    0,00    0,00    0,00   72,28
Average:       8    5,10    0,00    6,12    0,00    0,00    0,00    0,00    0,00    0,00   88,78
Average:       9    2,97    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   95,05
Average:      10    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
Average:      11    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
Average:      12    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
Average:      13    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
Average:      14    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
Average:      15    1,98    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   96,04
Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:35:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:04     all    3,22    0,00    1,58    0,06    0,00    0,00    0,00    0,00    0,00   95,14
10:35:04       0   12,24    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   86,73
10:35:04       1    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
10:35:04       2    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
10:35:04       3    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:35:04       4    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:35:04       5    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
10:35:04       6   15,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   83,00
10:35:04       7    4,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
10:35:04       8    3,06    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   91,84
10:35:04       9    3,03    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   94,95
10:35:04      10    2,02    0,00    2,02    1,01    0,00    0,00    0,00    0,00    0,00   94,95
10:35:04      11    3,03    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   91,92
10:35:04      12    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
10:35:04      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:35:04      14    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
10:35:04      15    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    3,22    0,00    1,58    0,06    0,00    0,00    0,00    0,00    0,00   95,14
Average:       0   12,24    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   86,73
Average:       1    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:       2    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
Average:       3    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
Average:       4    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
